id,age,sex,childadult,season,Protein(g),fat(g),carbohydrate(g),Calcium(g),Iron(g),Zinc(g),VitaminA(mcg),FoodWeight(g),Folate(mcg),Energy(Kcal),VitaminA(RE),VitaminC(mcg),SpeciesCount,ddscount10,ddscount21,ddscount27,VitA_NAR,VitC_NAR,simpson,entropy,dissimilarity,zsimpson,zentropy,zdds,zdissimilarity,zMAR,zddscount10,zspeciescount,zfd,Zn_NAR,Ca_NAR,Fe_NAR,Folate_NAR,Mean_NAR,meanprob,fd
1435,30,female,adult,lean & wet,111.7942562,40.83026327,783.4822807,322.5985075,15.97070965,24.03843578,0,1326.73411,202.355802,3948.863319,1176.228081,23.47188691,9.0,4,5,6,1.0,0.71126932,0.75601655,1.7881597,0.74199963,-2.1282878,-1.5311027,-0.41806024,1.9101033,-0.4814491,-0.15542737,-0.008594788,0.50036138,1.0,0.40324813,0.13280897,0.63236189,0.64661473,0.082227364,0.48095304
1439,33,female,adult,lean & wet,69.27318204,20.9249163,446.5191269,265.736441,9.853762852,16.07190393,0,1153.07462,112.884064,2251.690052,270.6314741,95.94194166,12.0,5,7,8,1.0,1.0,0.86121577,2.4784203,0.58670455,-0.411596,-0.093659431,-0.11919387,0.94640321,-0.6054424,0.0958139,0.47104397,1.0782498,1.0,0.33217055,0.077619232,0.3527627,0.62709206,0.090407364,0.55981362
1443,32,female,adult,lean & wet,168.6925723,22.70100499,652.5282098,562.9597103,22.50430205,28.08631516,0,1737.363308,569.4068979,3490.461555,2680.400349,287.9597592,10.0,5,7,8,1.0,1.0,0.9255715,2.9827552,0.38723826,0.638592,0.95660031,0.080050386,-0.29140612,0.59797007,0.11159501,0.12273375,0.91770118,1.0,0.70369965,0.1957117,1.0,0.81656855,0.13913567,0.5379046199999999
1447,29,female,adult,lean & wet,91.35311094,39.59436216,459.6840397,531.2570738,20.25449183,17.6491312,0,1375.978934,605.0954584,2502.585257,3903.875838,174.6814837,10.0,5,7,8,1.0,1.0,0.91889393,2.6885622,0.27439871,0.52962422,0.34395367,0.16640361,-0.99164397,0.52700865,0.17390223,0.15648553,0.76697099,1.0,0.66407132,0.168303,1.0,0.80539572,0.1389889,0.51733547
1451,34,female,adult,lean & wet,186.9833425,47.04369552,526.0408043,327.8246298,19.34057378,25.52409329,0,1627.960767,243.1660748,3270.820502,930.1209867,59.79781846,10.0,5,5,6,1.0,1.0,0.86845315,2.2700064,0.62318397,-0.29349303,-0.5276739,-0.17479692,1.17278,0.003219191,0.11710587,0.16421321,0.54645818,1.0,0.4097808,0.1678777,0.75989401,0.72292542,0.1113382,0.48724356
1457,25,female,adult,lean & wet,85.24551545,59.33214122,424.1622018,242.0083727,13.33738989,15.05419005,0,1034.852142,239.394468,2551.626267,422.4201587,12.51684718,11.0,4,5,6,1.0,0.37929839,0.92166203,2.7978163,0.41654202,0.57479537,0.57147151,-0.097570471,-0.10955852,-0.82991916,-0.15737021,0.30569917,0.46772224,1.0,0.30251047,0.12057341,0.74810773,0.59174836,0.081208445,0.47649899
1459,24,female,adult,lean & wet,172.8114544,59.26169964,468.8848221,603.331462,18.66294887,29.66676993,0,2015.982591,226.6678682,3085.772905,154.5610605,23.43120859,8.0,4,4,6,0.57244837,0.71003664,0.89950991,2.5287457,0.63013285,0.21330626,0.011141432,0.025991859,1.2159021,-0.45866331,-0.15229376,-0.18173233,-0.10864942,1.0,0.75416434,0.15622748,0.70833707,0.65020233,0.056741949,0.39784539
1461,24,female,adult,lean & wet,106.7444323,20.46742737,471.4862665,367.268072,18.43590393,25.15086232,0,1651.546873,104.5737368,2485.726042,32.66278464,58.41433246,7.0,4,5,6,0.12097327,1.0,0.85857314,2.2492764,0.51957268,-0.45471975,-0.57084346,0.13797022,0.52980918,-1.3421761,-0.22087047,-0.30272132,-0.38102692,1.0,0.45908508,0.1597117,0.32679293,0.51109385,0.083333693,0.36067584
1467,25,female,adult,lean & wet,65.80433938,19.87119501,499.6797604,215.8059936,11.80045604,17.1277175,0,1016.872421,126.9844389,2437.638058,292.9460126,72.9533846,10.0,6,6,7,1.0,1.0,0.82696927,2.0041795,0.67027724,-0.97044706,-1.0812491,0.18662289,1.4650224,-0.60705209,0.46277565,0.16691789,-0.42323333,1.0,0.26975748,0.094447821,0.39682636,0.62683862,0.09762653,0.35491621
1473,27,female,adult,lean & wet,149.1939924,113.5750228,533.6158762,704.6737339,20.12806854,26.19368598,0,1786.484058,974.3885471,3750.790316,3115.439876,186.925483,14.0,5,6,7,1.0,1.0,0.90711623,2.881005,0.56564295,0.33743,0.74470925,-0.0357893,0.81570321,0.74616879,0.080728307,0.79015148,1.2024978,1.0,0.88084215,0.15857174,1.0,0.83990234,0.14361747,0.57676893
